Doctor Name,About the Doctor
Prof. Dr. med. Frank Tacke,"Dr. Prof. Frank Tacke is an esteemed medical professional with an impressive career in the field of internal medicine, gastroenterology, and hepatology. With over 15 years of experience, Dr. Tacke has established himself as a leading expert in his field. He is currently the Director of the Medical Clinic for Hepatology and Gastroenterology at the University Hospital Charite Berlin. Dr. Tacke's dedication to his profession is evident through his extensive education and certifications. He has obtained board certifications in internal medicine, gastroenterology, endocrinology, diabetology, and infectious diseases. Additionally, he holds a Ph. D. in Gastroenterology and Hepatology. His knowledge and expertise have allowed him to contribute to over 1,000 scientific publications, showcasing his commitment to advancing medical knowledge and finding innovative treatment options. Dr. Tacke's research interests are diverse and cover a wide range of areas, including hepatitis, liver diseases, and gastrointestinal disorders. He has made significant contributions to the understanding and treatment of these conditions, providing valuable insights into patient care. Dr. Tacke's extensive involvement in various medical societies and associations further demonstrates his passion for staying at the forefront of medical advancements. Overall, Dr. Prof. Frank Tacke is a highly respected doctor with a wealth of experience, specialized knowledge, and a remarkable track record in his field. His dedication to patient care, research, and education make him a trusted and invaluable asset to the medical community."
Prof. Dr. med. Britta Siegmund,"Prof. Dr. med. Britta Siegmund is a highly experienced doctor with 25 years of experience in the field of internal medicine, gastroenterology, infectiology, rheumatology, endocrinology, and nephrology. She currently works at the Department of Internal Medicine at the University Hospital Charite in Berlin, Germany. Dr. Siegmund completed her medical studies at the Ludwig Maximilians University in Munich, followed by a scholarship at the prestigious Harvard Medical School in Boston. She has a diverse range of experience, including residencies and research fellowships in institutions such as the University of Colorado in Denver and the Benjamin Franklin Campus at the University Hospital Charite in Berlin. Dr. Siegmund is widely recognized for her contributions to the field of gastroenterology and has published 482 scientific publications. She is actively involved in various professional organizations and holds positions such as board member of the Intestinal Diseases Network and chair of the European Crohn's and Colitis Organization Scientific Committee. Her expertise and dedication to research make Dr. Siegmund highly regarded in her field. She is known for her work in inflammatory bowel diseases and has focused her research on finding new and improved treatments for patients. As a medical director at the University Hospital Charite, she continues to provide excellent care and contribute to advancements in the field of gastroenterology."
Prof. Dr. med. Christoph Buhrer,"Prof. Dr. med. Christoph Buhrer is a highly experienced pediatric and neonatology specialist with 37 years of experience. He is currently working at the Department of Neonatology at the University Hospital Charite in Berlin, Germany. Dr. Buhrer has an impressive career, having worked at renowned institutions such as the Sloan Kettering Oncology Center in New York and the German Heart Center in Berlin. He is recognized for his expertise in the field, as evidenced by his inclusion in the FOCUS list of doctors in neonatology. With 691 scientific publications to his name, Dr. Buhrer is actively involved in research and has contributed significantly to the field. His publications cover a wide range of topics, including the effects of different treatment methods in neonatology, neuroprotection, and the role of specific proteins in various conditions. This demonstrates his dedication to advancing knowledge and finding innovative approaches to patient care. Dr. Buhrer's extensive experience and expertise make him highly competent and well-suited to providing the best possible care to his patients."
Prof. Dr. med. Wolfgang Henrich,"Introducing Prof. Dr. med. Wolfgang Henrich, a highly experienced and renowned gynecologist and obstetrician based in Berlin, Germany. With an impressive 34 years of experience in the field, Dr. Henrich has established himself as a leading expert in fetal medicine. He currently serves as the Director of the Department of Obstetrics at the esteemed University Hospital Charite Berlin. Dr. Henrich's extensive educational background includes medical studies in prestigious institutions such as the University of Heidelberg, University of San Diego, and University of Zurich. He is not only board-certified in obstetrics and gynecology but also in Feto-Maternal Medicine, showcasing his expertise in specialized care for expectant mothers and their unborn babies. Notably, Dr. Henrich has contributed significantly to the field of fetal medicine, having published a staggering 504 scientific publications. His research focuses on a wide range of subjects including the effects of antenatal steroids in twin pregnancies, the safety of medication during pregnancy, prenatal diagnosis of fetal abnormalities, and the impact of gestational diabetes on pregnancy outcomes. With his vast knowledge, extensive experience, and dedication to advancing the field of fetal medicine, Prof. Dr. Wolfgang Henrich stands out as a highly skilled and respected specialist. His contributions to the medical community and his commitment to providing the best care for his patients make him a trusted and sought-after professional in the field."
Prof. Dr. med. Kai-Uwe Eckardt,"Prof. Dr. med. Kai-Uwe Eckardt is an experienced doctor specializing in internal medicine and nephrology. With a career spanning 39 years, he has a wealth of knowledge and expertise in his field. He holds a degree in medicine from Munster and Cardiff, UK, as well as a Ph. D. from the Institute of Human Genetics in Munster. Prof. Eckardt has trained in pathology, physiology, and internal medicine in various locations including Munster, Zurich, Oxford, Regensburg, and Berlin. One of the most remarkable aspects of his career is his extensive research work, with six years dedicated to basic research in Zurich, Oxford, and Regensburg. He is the initiator and leader of a national cohort study on chronic kidney disease. Prof. Eckardt has published over 700 scientific publications, highlighting his commitment to advancing knowledge in his field. Currently, Prof. Eckardt works at the University Hospital Charite Berlin in the Department of Internal Medicine (Nephrology). He serves as the Director of the Medical Department and holds the position of Professor of Internal Medicine. Additionally, he is a former board member of various nephrology societies and a founding member of an international association focused on kidney disease. With his vast experience, research contributions, and expertise in nephrology, Prof. Dr. med. Kai-Uwe Eckardt is highly regarded in his field. His dedication to improving patient care and advancing medical knowledge makes him an exceptional doctor."
Prof. Dr. med. Ulrich-Wilhelm Thomale,"Prof. Dr. med. Ulrich-Wilhelm Thomale is a highly experienced pediatric neurosurgeon with 28 years of experience in the field. He currently works at the Department of Pediatric Neurosurgery at the University Hospital Charité Berlin. With a specialization in pediatric neurosurgery and neuro traumatology, Dr. Thomale has dedicated his career to providing exceptional care to young patients. His impressive CV includes medical studies at renowned universities such as the Eduard-Karls University, Tuebingen, the University of Vienna, and the Freie University, Berlin. He has also conducted extensive research and international internships at esteemed institutions like the Cornell Medical School, New York Hospital, and the Memorial Sloan Kettering Cancer Center. Dr. Thomale's expertise and contributions to the field of pediatric neurosurgery is evident in his 263 scientific publications. His research covers a wide range of topics, including neuroendoscopic surgery, posthemorrhagic hydrocephalus, and cerebral abscesses. These publications demonstrate Dr. Thomale's commitment to advancing the knowledge and treatment options in his field. With his exceptional qualifications and extensive experience, Prof. Dr. med. Ulrich-Wilhelm Thomale is recognized as a leading authority in pediatric neurosurgery. His dedication to providing excellent care and advancing the field through research makes him a highly respected and sought-after doctor in his profession. Patients and their families can trust that they are receiving the best possible care under Dr. Thomale's expertise."
Prof. Dr. med. Lars Bullinger,"Prof. Dr. med. Lars Bullinger is an esteemed doctor with extensive experience in the field of hematology, oncology, and leukemia research. With 26 years of experience and a total of 648 scientific publications, he has made significant contributions to the field. He is currently working at the University Hospital Charite in Berlin, Germany, specifically in the Department of Oncology, Hematology, and Tumour Immunology. Prof. Dr. Bullinger's career is filled with notable achievements and recognition. He has received the Franziska Kolb award for leukemia research and is a member of prestigious medical societies such as the American Society of Hematology and the European Hematology Association. What sets Prof. Dr. Bullinger apart is his focus on personalized medicine. He is an Associate Professor of Personalized Medicine and has published research on topics like targeted genomic mutation panels and the use of CAR-T therapy in lymphoma patients. His dedication to understanding genetic factors and tailoring treatments to individual patients makes him a leading expert in the field. With his vast experience, numerous publications, and focus on personalized medicine, Prof. Dr. Lars Bullinger is highly regarded for his contributions to hematology, oncology, and leukemia research. His expertise and dedication to advancing personalized medicine make him an exceptional doctor, benefiting patients in Germany and beyond."
Prof. Dr. med. dent. Paul-Georg Jost-Brinkmann,"Prof. Dr. med. dent. Paul-Georg Jost-Brinkmann is a highly experienced and renowned dentist specializing in pediatric dentistry, orthodontics, dentofacial orthopedics, and pedodontics. With an impressive 38 years of experience, he has established himself as an expert in his field. Currently, he works at the University Hospital Charite in Berlin, Germany, specifically in the Department of Pediatric Dentistry. Prof. Dr. Jost-Brinkmann's career highlights include his founding membership in the German Society of lingual orthodontics and serving as its president from 2000 to 2002. He has also made significant contributions to the orthodontic field through his extensive research and has published 173 scientific papers. His research focuses on various aspects of orthodontics, including tooth movement, oral health-related quality of life, and the management of white spot lesions induced during orthodontic treatment. With his wealth of experience, expertise, and dedication to advancing the field of orthodontics, Prof. Dr. Jost-Brinkmann is considered a leading authority in pediatric dentistry and orthodontics. His contributions to research and his position at the University Hospital Charite in Berlin are testimonies to his proficiency and commitment to providing the highest quality dental care. Patients can trust in his expertise and rely on his innovative approaches to treatment."
Prof. Dr. med. Carsten Perka,"Prof. Dr. med. Carsten Perka is an accomplished orthopedic surgeon and the Chief Physician and Chairman of the Department of Orthopedics and Traumatology with Musculoskeletal Surgery Center at the University Hospital Charite Berlin. With over 32 years of experience in the field, Dr. Perka has established himself as a leading expert in orthopedics, traumatology, and musculoskeletal surgery. Dr. Perka's impressive career includes numerous notable achievements. He has published a staggering 735 scientific publications, showcasing his expertise and dedication to advancing the field of orthopedics. His research focuses on musculoskeletal biomechanics, preoperative planning for osteotomy and joint replacement, and the diagnosis and treatment of periprosthetic joint infections. In addition to his role at the University Hospital Charite, Dr. Perka is also highly involved in various professional organizations. He is currently the President of the German Society for Orthopedics and Orthopedic Surgery and serves as Chairman of the North German Orthopedic and Trauma Surgeons Association. He is also a member of the Executive Committee of the German Society for Endoprosthetics. Dr. Perka's vast experience, extensive research contributions, and leadership in the field make him an exceptional doctor. His dedication to improving patient outcomes and advancing orthopedic knowledge sets him apart as a highly regarded and respected professional in the field."
Prof. Dr. med. Dr. h.c. Jalid Sehouli,"Prof. Dr. med. Dr. h. c. Jalid Sehouli is a highly distinguished gynecologist specializing in gynecological cancer. With an impressive 28 years of experience, he is renowned for his expertise in the field. He currently works at the University Hospital Charite in Berlin, specifically in the Department of Oncological Gynecology. Dr. Sehouli's career is filled with numerous accomplishments, including over 1,300 scientific publications. His extensive research focuses on various aspects of gynecological cancer, making him a valuable asset to the medical community. He has also played a significant role in the development of treatment guidelines, serving as a member of multiple organizations and committees related to gynecology and oncology. What sets Dr. Sehouli apart is his dedication to improving patient care and outcomes. His research efforts have led to advancements in the understanding and treatment of gynecological malignancies. Patients trust Dr. Sehouli's expertise and compassionate approach to gynecological cancer, knowing that they are receiving the best possible care. Overall, Prof. Dr. med. Dr. h. c. Jalid Sehouli is a highly respected and accomplished gynecologist with a wealth of experience and a strong focus on gynecological cancer. His commitment to research, patient care, and contributions to the field make him one of the foremost experts in his field."
